ID,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
145,0.116676791,31,0,0.343593791,3800,7,0,1,0,0
151,0,48,2,0.370876375,3000,14,0,1,0,5
152,0.175932019,57,1,0.655812625,3500,9,0,1,0,1
154,0,28,0,0.144616356,3166,7,0,0,0,0
155,0.21286031,36,0,0.563752087,9583,10,0,2,0,1
163,1.046279103,47,1,1.104301274,5416,6,0,2,0,1
165,0.36459777,42,0,0.593899089,6916,7,0,3,0,0
168,0.020966389,29,0,639.5,1,3,0,1,0,2
169,0.170103002,36,0,0.138461538,7734,8,0,0,0,0
176,0.167571389,69,0,0.330733853,5000,10,0,1,0,1
184,0.184986787,55,4,3144,NA,11,0,1,0,0
186,0,25,0,0.152896812,2916,3,0,0,1,0
194,0.9999999,55,0,0.156259612,3250,5,0,0,0,4
196,0.025892469,38,0,74.5,1,13,0,0,0,2
198,0.231692268,40,0,0.119660709,3300,7,0,0,0,0
201,0.045423864,64,0,0.181311286,5200,4,0,1,0,0
203,0.078738916,46,0,0.166215372,4800,6,0,1,0,4
211,0.20808276,64,0,2826,NA,14,0,2,0,0
215,0.655316473,63,0,5223,NA,19,0,2,0,0
221,0.611865678,72,0,0.04578345,7600,3,0,1,0,0
225,0.455950788,63,1,0.701766078,6001,19,0,2,0,0
240,0.295928252,47,0,0.283765445,14000,6,0,2,0,1
247,0.084220458,42,0,0.458551158,6694,26,0,2,0,4
250,0.081310737,81,0,0.165566887,3333,4,0,0,0,0
253,0.011883886,54,0,0.092913547,9750,8,0,1,0,2
254,0.75264947,33,1,0.058322869,7166,6,0,0,0,0
256,0,23,0,0,1725,1,0,0,0,0
261,0.034645112,65,0,0.125189985,12500,4,0,1,0,1
268,0.267541336,59,0,0.637607437,5700,13,0,2,0,1
272,0.029816467,68,0,0.175139978,4464,12,0,1,0,1
274,0.051368557,68,0,0.445277361,4668,10,0,1,0,2
284,0.112855258,64,0,0.307576329,2652,6,0,1,0,0
285,0.260971034,57,0,5439,NA,16,0,3,0,NA
288,0.9999999,62,0,0,5480,3,0,0,0,0
291,0.191001932,54,0,0.705627706,5081,10,0,2,0,2
297,0.547887778,29,1,0.24651504,2725,5,0,0,1,0
298,0.271668778,46,1,0.282830201,15800,14,0,2,0,4
300,0.897203427,68,0,0.787803049,4000,8,0,2,0,0
301,0.25889775,33,0,0.537441339,4900,3,0,1,0,1
305,0.465238835,66,0,0.391427671,3172,8,1,1,0,0
307,0.696411671,52,0,0.408871921,11000,11,0,1,0,4
310,0.948762809,27,0,0.144948404,4166,5,0,0,0,0
317,0.426371142,62,1,0.406053995,3666,15,0,1,0,0
324,0.283821988,63,0,0.750200803,1244,9,0,0,0,0
328,0.067259209,29,1,0.168340507,2090,3,0,0,0,0
339,0,61,0,1.394967177,913,11,0,2,0,0
340,0.399946674,28,0,0.189702574,4000,6,0,0,0,1
344,0.9999999,30,0,0.090341011,5600,1,0,0,0,0
349,0.360907571,72,0,0.356679286,3697,6,0,1,0,0
357,0.118853837,50,0,2720,NA,7,0,1,0,2
363,0.496388581,56,0,0.170164956,19580,12,0,1,0,1
370,1.047495906,35,2,0.314566116,3871,8,0,2,1,3
373,0.026580302,79,0,1063,NA,7,0,1,0,0
374,0.082317351,64,0,0.214426305,8636,29,0,1,0,1
377,0.047650102,63,0,0.387956894,9000,6,0,2,0,0
379,0.186890655,54,0,0.655589124,3640,7,0,1,0,1
380,0.007501937,63,0,0.278226307,8050,13,0,2,0,3
382,0.9999999,22,0,130,NA,0,0,0,0,NA
384,0.903231566,57,0,0.13080895,5228,10,0,0,0,0
385,0.017043518,43,0,0.10821382,2300,6,0,0,0,1
389,0.250008365,60,0,2.086478612,7550,26,0,0,0,0
392,0.9999999,60,0,0,4200,0,0,0,0,0
396,6.85675e-4,83,0,0,NA,4,0,0,0,0
399,0.802417179,58,1,668,NA,5,1,0,0,0
403,0.088845558,62,0,0.073772011,5394,5,0,0,0,0
408,0.368866624,55,0,0.437996083,9700,18,0,2,0,0
410,0.179487766,51,0,0.492529978,10173,19,0,4,0,0
413,0,59,0,2113,NA,13,0,2,0,NA
414,0.011847989,49,0,1599,NA,12,0,1,0,0
416,0.030996074,56,0,0.131430952,4800,11,0,1,0,0
420,0.032769199,70,0,724,NA,11,0,1,0,0
427,0.9999999,33,0,1786,NA,3,0,1,0,0
429,0.9999999,79,0,0.130140954,5178,6,0,1,0,0
431,0.010887967,55,0,0.725137431,2000,7,0,2,0,0
443,0.922670104,40,0,0.207789429,9345,7,0,0,0,0
449,0.9999999,40,1,0.19170579,3833,3,2,0,0,2
456,0.067901335,69,0,0.065493451,10000,5,0,1,0,0
460,0.003625197,78,0,726,NA,8,0,1,0,NA
467,0.077958915,57,0,0.053530226,6500,19,0,0,0,0
471,0.073393457,38,1,0.384761524,10000,9,0,2,0,0
476,0.347665233,46,0,0.041583367,2500,1,0,0,0,1
478,0.354125994,57,0,0.558762411,4330,4,0,1,0,0
479,0.029643294,50,0,0.399106478,9400,15,3,4,0,0
483,0.719305764,64,0,0.186225718,6228,5,0,1,0,0
489,0.047587303,34,0,997,NA,4,0,0,0,NA
491,0.401789055,55,0,0.412779302,2550,11,0,0,0,0
496,0.993335555,31,0,0.068227425,4484,6,0,0,0,1
497,0.138793584,43,0,0.384074741,11666,9,0,5,0,0
504,0.183676155,33,0,0.660528423,2497,9,0,1,0,0
508,0.052161271,49,0,0.067629397,6993,5,0,0,0,1
509,0.9999999,73,0,8500,0,2,0,0,0,0
515,0.056390008,54,0,2126,NA,8,0,1,0,0
517,0.065630892,31,0,0.162635688,5250,10,0,0,0,0
520,0.289470539,44,0,0.4825614,8916,17,0,2,0,1
524,0.029692431,58,2,0.287187752,6204,19,0,1,0,0
528,0.551889862,42,1,0.790613718,3600,18,0,2,0,1
529,0.640058527,39,0,0.055984556,9841,9,0,0,0,2
534,0.266371179,58,0,0.498488489,12900,12,0,1,0,2
537,0.955545894,52,1,0.524949909,10480,11,0,3,0,1
538,0.086635409,40,0,887,0,8,0,1,0,1
542,1.245847176,24,1,499,NA,4,1,0,0,NA
544,0.329609837,36,0,0.437743191,3597,16,0,2,0,2
547,0.035113768,56,0,87,NA,11,0,0,0,0
552,0.9999999,63,3,0.200843235,5217,5,0,1,1,4
556,0.408215982,39,0,677,NA,4,0,0,0,2
565,0.113165062,57,0,3169,NA,16,0,1,0,3
568,0.486651335,55,0,0.324741695,9000,10,0,2,0,0
573,0.339503567,89,1,0.549380248,2500,9,3,0,1,0
574,0.064835195,56,2,0.197624587,8166,10,0,1,0,0
577,0.503587987,63,0,1.308922769,4000,16,0,1,0,0
581,0.30248201,46,0,0.348057208,7900,12,0,1,0,2
583,0.159116246,91,0,0.184123484,1813,6,0,0,0,0
585,0.155644438,56,0,0.336831584,2000,5,0,1,0,0
586,0.836294011,29,3,0.260170076,4350,8,0,1,0,1
594,0.181579946,54,0,0.3539428,6048,9,0,1,0,1
595,0.002964536,67,0,0.349026844,16800,14,0,5,0,0
599,0.122976319,50,0,0.454103343,3289,6,0,1,0,1
600,0.387065977,51,0,0.350874186,5833,12,0,1,2,1
607,0.733914381,33,0,0.158975542,4333,7,1,0,0,1
611,0.016995185,62,0,0.002301937,5212,4,0,0,0,0
614,0.184476515,32,0,0.444956049,7166,11,0,2,0,0
620,0.392141112,54,0,1.383017398,3850,18,0,2,0,2
622,0.616982372,32,1,0.191649336,6250,10,0,0,0,2
626,0.014441183,75,0,0.145703611,16059,8,0,1,0,0
632,0.65854007,55,0,0.489714904,5541,6,0,1,0,0
633,0.104693763,36,0,0.297372704,4300,8,0,1,0,1
634,0.046740048,57,0,0.404799866,11916,13,0,3,0,0
636,0.883182488,49,0,0.183736947,4500,18,0,0,0,2
638,0.088809584,51,0,0.295480067,7123,12,0,1,0,0
639,0.021319787,64,0,0.24496788,2334,13,0,1,0,0
643,0.402345742,37,0,0.337622356,12667,16,0,2,0,3
648,0.044842922,51,0,0.23358954,11318,5,0,1,0,2
652,0,36,0,0.370418677,7666,4,0,1,0,2
654,0.314685703,51,3,0.160317928,16984,13,0,2,1,4
657,0.037849716,62,0,0.162891787,8741,15,0,1,0,0
661,0.321457844,46,2,1434,NA,6,0,1,1,0
663,0.827151013,56,1,0.219974716,8700,8,0,0,1,1
664,0.442798278,51,0,2092,NA,11,0,0,0,2
667,0.020703507,47,0,0.645104381,3400,6,0,1,0,2
669,0.9999999,75,0,8,NA,2,0,0,0,0
670,0.569824212,40,0,0.361421689,11000,18,0,1,0,2
671,0.914867126,40,0,0.517037339,4900,7,0,1,0,1
684,0.019883105,64,0,0.028599606,6083,16,0,0,0,0
690,0.023114333,64,0,0.513540291,9083,16,0,3,0,0
695,0.359412083,54,0,3.874422899,1082,22,0,1,0,0
697,0.07953842,53,0,2958,NA,9,0,1,0,2
707,0.009639594,52,0,0.262440354,4400,5,0,0,0,0
709,0.092392056,71,2,0.190062303,13000,7,0,1,0,0
710,0.001019592,83,0,1.9996e-4,5000,10,0,0,0,0
711,0,76,0,272,0,6,0,0,0,0
712,0.045516721,40,0,0.090355422,11000,12,0,0,0,3
714,0.292159285,78,0,605,NA,5,0,0,0,0
721,0.23801693300000001,58,0,0.601017347,7666,5,0,3,0,0
730,0.029185402,41,0,0.336295473,3600,5,0,1,0,0
731,0.985092264,48,0,0.376905611,3082,4,0,1,0,0
732,0.011904653,69,0,1653,NA,20,0,2,0,0
736,0.060867801,50,1,3074,NA,15,0,1,0,0
738,0.073191767,54,0,0.020708083,4490,4,0,0,0,0
739,0.473663158,36,1,0.650674663,2000,8,0,0,0,0
740,0.987668722,39,5,0.691279186,5010,14,0,2,0,2
742,0.475252475,38,1,0.428628549,2500,8,1,0,0,0
744,0.621468927,24,0,0.010079194,4166,3,0,0,0,0
746,0.880239982,41,0,1290,NA,6,0,0,0,2
747,0.087182563,74,0,0.080495356,1291,6,0,0,0,0
749,0,57,0,0.335066493,10000,11,0,2,0,3
750,0,63,0,0.052672049,2600,3,0,0,0,1
756,0.249922521,63,2,0.254313231,19416,18,0,2,0,1
762,0.048540543,55,1,0.215576215,5700,9,0,1,0,0
766,0.14060251000000001,56,0,0.049700447,11850,11,0,0,0,2
769,0,32,0,0.44187375,3500,5,0,1,0,2
771,0.228591229,38,1,0.181233062,2951,4,0,0,0,0
772,0,58,0,526,NA,5,0,1,0,1
773,0,59,1,0.531464095,7881,8,2,1,0,0
775,0.015293506,50,0,0.372513562,1105,13,0,0,0,0
776,0.059183801,26,0,0.067061144,1520,7,0,0,0,0
783,5.4943e-4,59,0,0,2236,4,0,0,0,0
784,0.004680652,29,0,0.057388522,5000,4,0,0,0,0
787,0.083486086,71,0,0.170705631,5611,4,0,1,0,0
788,0.01087466,82,0,0.001287001,7769,6,0,0,0,0
789,0.014646523,26,0,0.121568627,1274,7,0,0,0,0
793,0.556142972,58,0,0.177274242,3000,2,0,0,0,0
795,0.031593681,33,0,523,NA,3,0,0,0,0
801,0.962946947,50,0,0.68127587,4106,8,0,1,1,0
804,0.067400749,26,0,0.166517857,4479,10,0,0,0,0
810,0.255610417,54,0,0.528550512,3414,9,0,1,0,1
811,0.9999999,24,0,0,3833,1,0,0,0,0
812,0.682708972,41,4,0.38708711,13350,8,0,4,0,1
816,0.040536902,34,0,0.644091034,3646,11,0,1,0,0
818,0.013375668,82,0,0.002606106,8057,7,0,0,0,0
819,0.9999999,48,0,0.165213329,6421,0,1,0,0,2
820,0.19877594,83,0,0.217065334,2800,9,0,0,0,0
821,0.053596215,86,0,68,NA,6,0,0,0,1
823,0,90,0,0,NA,3,0,0,0,NA
825,0.715720439,33,0,1.002499107,2800,8,0,2,0,0
830,0.48268786,30,0,0.264841895,8000,9,0,2,1,1
831,0.524915836,32,0,969,NA,6,0,0,0,0
833,0.001876594,79,0,0.01332778,2400,10,0,0,0,0
841,0.547124146,40,0,0.121319069,9066,6,0,0,0,4
843,0.157137145,59,0,0.264911696,3000,8,0,0,0,1
844,0.042202964,28,0,0.286158631,4500,6,0,1,0,0
846,0.835311508,31,1,0.332527053,7854,9,0,1,0,0
849,0.037477248,37,0,0.079193665,8333,9,0,0,0,0
857,0.778719498,81,0,0.53801306,4287,11,0,2,0,0
863,0.717853471,67,0,3174,NA,15,0,3,0,0
878,0.223055966,44,0,0.430297475,12000,13,0,2,0,3
882,0.15189171,59,0,0.301074556,15075,13,0,2,0,0
883,0.606025418,39,3,0.375647341,7916,10,0,2,0,2
886,0.010186243,47,0,0.022504141,24750,7,0,0,0,2
895,0.011505437,52,0,0.274253271,4050,9,0,1,0,0
897,0,39,0,0.551779288,2500,7,0,2,0,0
901,2.258964143,33,2,0.032483758,2000,1,1,0,0,2
902,0.013767118,64,0,2004,NA,10,0,2,0,0
922,0.514353049,39,0,0.984408835,2308,15,0,1,0,1
927,0.391045602,24,0,0.069040925,3200,11,0,0,0,0
929,0.477367751,36,0,0.339874121,2700,6,0,0,0,0
933,0.127159603,63,0,0.454098361,5489,20,0,4,0,0
935,0.156645781,45,1,0.560214893,6700,8,0,2,0,2
938,0.163750645,65,0,0.266873313,10000,13,0,1,0,0
940,0.9999999,47,0,0.370691923,3800,6,0,0,0,1
942,0.153646677,34,0,1.220066377,3916,7,0,2,0,0
944,0.913773615,55,2,0.881655429,4300,17,0,2,0,1
945,0.251284106,34,0,0.75145816,8400,18,0,4,0,0
948,0.133613717,43,1,0.421048246,12000,14,0,3,1,2
956,0.630901661,73,0,0.047400612,4577,3,0,0,0,0
958,0.055228298,48,0,0.146276596,12407,5,0,1,0,0
960,0,50,0,0,6400,2,0,0,0,0
961,0.833594158,44,0,178,NA,9,0,0,0,0
972,0.061439281,58,0,0.498692509,6500,19,0,4,0,1
973,0.527904017,67,0,486,NA,4,0,1,0,0
977,0.278636315,47,0,0.587361677,6867,22,0,1,0,4
979,0.256314605,58,3,1.511162946,3000,24,0,2,0,0
980,0,41,0,0.346902339,5600,4,0,1,0,0
981,0.066113797,63,0,0.621679828,9750,24,0,2,0,2
987,0,26,0,346,NA,8,0,0,0,0
989,0.878245498,40,0,0.18141723,3400,5,0,0,0,1
992,0.228742911,38,2,3558,NA,19,0,3,0,2
993,0.691722293,78,0,0.691183331,6430,6,0,2,0,0
994,0.275946359,57,1,0.283411686,13400,10,0,1,0,0
995,0.037454421,57,0,0.355043926,3300,17,0,1,0,0
1009,0.9999999,42,0,0.217236784,2250,1,0,0,0,2
1010,0.001890458,47,3,0.268693009,6579,15,0,2,2,1
1013,0.245930854,39,0,0.537720414,5500,11,0,1,0,1
1015,0.408690635,46,0,1.055195584,4166,12,0,2,0,0
1017,0.017558727,47,0,0.53540175,2513,10,1,1,0,0
1033,0.135083219,58,0,0.065139307,10300,7,0,0,0,2
1060,0.014466655,51,0,0.262962153,4570,28,0,2,0,0
1068,0.030761368,62,0,0.015661446,3000,5,0,1,0,0
1072,0.002072256,58,0,0.210742857,8749,12,0,2,0,0
1073,0.223967181,49,0,1632,NA,8,0,1,0,0
1077,0,43,0,0.281729338,15450,10,0,2,0,5
1082,0.012987013,22,0,0,0,2,0,0,0,0
1093,0.275326535,66,1,0.38317757,5884,17,0,1,0,0
1095,0.026147183,67,0,0.329780147,1500,7,0,1,0,0
1097,0.040423812,61,0,28,NA,6,0,0,0,0
1099,0.077246781,32,0,0.368421053,4084,7,0,1,0,0
1105,0.369171682,82,0,0.048228914,26000,12,0,1,0,0
1107,0.123471362,63,0,0.364188164,2635,6,0,1,0,1
1119,0.29739805,52,0,0.579717373,6014,8,0,1,0,3
1120,0.307191593,39,0,0.607185223,5900,5,0,2,0,0
1123,0.004104171,55,1,1,0,5,0,0,1,0
1129,0.428382755,36,0,0.2706115,6573,12,0,1,0,0
1135,0,46,0,0.450288902,5018,9,0,1,0,0
1137,0.901795412,47,1,0.52674524,3308,6,0,1,0,3
1139,0.001759965,46,0,0.214688239,5500,5,0,1,0,2
1141,0.007353556,80,0,0.29991431,3500,16,0,0,0,1
1143,0.061173533,28,0,0.08997001,3000,3,0,0,0,0
1148,0.804681521,43,0,0.533815481,10231,12,0,2,0,4
1157,0.926059916,48,1,12546,NA,8,0,4,0,0
1159,0.226957563,80,0,0.4375,4079,11,0,1,0,1
1161,0.023237542,58,0,0.812428571,6999,19,0,3,0,1
1162,0.01718597,48,0,0.348886815,7500,8,0,3,0,2
1165,0.247597087,56,0,0.702749471,5200,8,0,1,0,2
1171,0.537344212,57,0,0.627822789,5800,19,0,1,0,0
1176,0.100578252,69,0,2209,NA,11,0,2,0,2
1177,0.109278443,54,0,1370,NA,5,0,1,0,0
1178,0.012951764,68,0,1968,NA,5,0,1,0,0
1181,0.386875937,48,0,0.119083018,20850,19,0,0,0,2
1192,0,43,0,0,NA,2,0,0,0,0
1200,0.041084962,64,0,0.264227981,12000,8,0,1,0,0
1205,0.9999999,59,0,0.020359935,5500,1,0,0,0,1
1213,0.149113358,68,0,0.699205217,4906,8,0,2,0,0
1215,0.099815157,57,0,0.232339826,4260,8,0,1,0,1
1218,0.083984419,49,0,2461,NA,5,0,2,0,3
1220,0.142122933,54,0,2859,NA,18,0,3,0,1
1222,0.006556256,88,0,6,NA,7,0,0,0,NA
1224,0.9999999,27,0,0.014697237,1700,0,0,0,0,1
1231,0,37,0,1.687366167,1400,8,0,2,0,0
1236,0.361682297,41,0,0.19675058,5600,9,0,0,0,2
1243,0.05575925,62,0,0.014802119,6417,6,0,0,0,0
1246,0.58069462,39,1,0.785196922,4417,8,0,2,0,0
1247,0.120179936,52,1,0.427216786,9912,10,0,3,0,1
1249,0.017594819,52,0,0.306472244,3908,7,0,1,0,1
1251,0,84,0,0,NA,1,0,0,0,0
1252,0.465521089,47,0,4085,NA,8,0,1,0,0
1255,0.14176255199999999,78,0,0.028257457,5732,5,0,0,0,0
1260,0.06781117,71,0,0.332303218,5500,19,0,2,0,1
1262,0.293687348,31,0,1268,NA,13,0,0,0,0
1267,0.767840152,74,3,0.2964495,2900,4,1,0,1,0
1268,0.041191762,31,0,0.261369315,2000,3,0,0,0,0
1273,0.021418674,57,0,0.281414439,4750,13,0,1,0,1
1277,0.9999999,29,0,0.080187299,6833,3,0,0,0,0
1282,0.9999999,82,0,278,NA,0,0,0,0,NA
1284,0.9999999,41,0,0.007664112,3000,0,0,0,0,0
1290,0.078912031,50,1,0.596621408,6333,7,0,1,0,0
1298,0.024688074,45,0,0.199100928,6895,12,0,1,0,0
1302,0.176443529,67,0,0.182522829,9417,15,0,2,0,0
1304,0.06769731,75,0,0.082053743,2083,11,0,0,0,0
1308,0.007868766,63,0,1448,NA,6,0,1,0,0
1312,0.983078225,42,0,0.884470118,4500,17,0,2,0,2
1320,0.254093195,57,0,0.457734957,5500,12,0,2,0,0
1321,0,67,0,0.031403337,2037,4,0,0,0,1
1322,0.433365292,32,1,0.619267168,4120,5,0,1,0,1
1324,0.288425263,77,0,0.533965245,2531,8,0,1,0,0
1327,0.123564228,45,0,0.202103511,13215,5,0,1,0,2
1328,0.007161678,82,0,3,NA,7,0,0,0,0
1329,0.011753293,63,0,0.104972376,3800,3,0,1,0,0
1330,0,59,0,1486,NA,4,0,1,0,2
1333,0.160060865,41,1,0.370769853,7416,8,1,1,0,1
1335,0.032008214,73,0,0.226599205,8300,11,0,2,0,0
1346,0,39,0,0.055915527,4166,5,0,0,0,0
1349,0.036934189,56,0,0.287934952,8362,8,0,1,0,2
1350,0,62,0,1463,NA,5,0,1,0,0
1362,0.871073356,35,0,0.390764509,7167,12,0,1,0,0
1366,0,46,0,0.014388489,833,5,0,0,0,0
1368,0.011834818,47,0,0.684559617,6482,8,0,1,0,2
1373,0.032924722,65,0,1.034372502,1250,21,0,1,0,0
1374,0.200990693,33,0,0.732948234,4500,7,0,1,0,0
1377,0.113400284,31,0,0.254913728,6664,9,0,2,0,0
1378,0,83,0,4,NA,5,0,0,0,0
1381,0.013095711,55,0,0.363039132,3500,10,0,2,0,0
1383,0.113955442,33,0,0.282588669,8683,7,0,2,0,1
1394,0.006489024,67,0,0.099890231,12753,5,0,1,0,1
1395,0.010653436,39,0,0.00252605,3166,2,0,0,0,0
1396,0.241621668,40,0,3228,NA,11,0,2,0,0
1401,0.82644118,38,0,0.6536804,5800,9,0,1,0,2
1408,0.268399353,38,0,0.507758759,6250,12,0,1,0,2
1413,0.625696469,50,3,0.55618104,4440,12,0,2,0,2
1418,0.004171309,66,0,0.304592315,3200,8,0,1,0,0
1422,0.080481775,38,0,0.273972603,10000,12,0,1,0,1
1423,0,41,1,0.526684164,8000,4,1,2,1,1
1424,0.017028691,72,0,0.068935962,8166,22,0,0,0,0
1428,0.487837796,41,0,0.249076288,4600,5,0,1,0,2
1429,0.003811909,50,0,0.362583537,24090,27,0,5,0,1
1431,0.9999999,34,0,0.196640721,2440,2,0,0,0,5
1436,0.055606878,65,0,2965,NA,5,0,1,0,1
1440,0.02329767,30,0,0.162629758,2600,6,0,0,0,0
1445,0.209546792,39,0,0.100164204,2435,12,0,0,0,0
1446,0.477140863,71,0,0.349572725,11350,11,0,3,0,0
1448,0.122830785,46,0,2162,NA,4,0,1,0,0
1449,0.2670805,51,0,0.841945289,6250,25,0,3,0,3
1452,0.857122203,64,0,0.469695416,9750,8,0,2,0,0
1453,0.027789211,52,0,0.226816225,7666,7,0,2,0,2
1456,0.353103186,45,0,0.878525593,6700,22,0,2,0,3
1461,0.55613391,36,0,0.151914167,4100,4,0,0,0,0
1462,0.057155929,60,0,0.224294881,6700,10,0,1,0,0
1464,0.037448128,73,0,2498,NA,4,0,2,0,0
1465,0.702381432,54,0,0.866732547,14166,21,0,6,0,3
1468,0.620903668,42,0,1146,NA,14,0,0,0,3
1473,0.685583993,41,0,0.450440529,10895,13,0,5,0,1
1474,0.019999721,48,0,0.090381924,5000,11,0,1,0,0
1479,0.216826619,56,1,0.854103343,3618,16,0,3,0,2
1486,1.083405734,55,3,0.490218316,3526,10,0,1,1,1
1487,0.688665867,34,0,1.034152436,2400,12,0,1,0,3
1488,0.600289222,26,0,0.411100659,2125,3,0,0,0,0
1490,0.030141422,52,0,0.090074333,2286,6,0,0,0,0
1491,0.239963423,58,0,0.195229306,7042,8,1,1,0,4
1495,0.270429421,62,0,0.477690571,9300,14,0,3,0,1
1508,0.123206192,44,0,0.643262895,4400,10,0,2,0,2
1510,0.054783369,63,0,0.099980004,5000,15,0,0,0,1
1517,0.031140633,45,0,0.075146243,20000,9,0,0,0,0
1520,0.065788608,69,0,1234,NA,13,0,2,0,1
1526,0.418715107,35,0,0.114119117,2400,2,0,0,0,0
1534,0.063226971,59,0,0.263461966,13500,22,0,3,0,0
1551,0.011986243,77,0,0.010284245,7000,21,0,0,0,0
1552,0.31309339,57,0,1.64846981,2417,8,0,1,0,0
1555,0.029725902,67,0,685,NA,8,0,0,0,0
1561,0.933834167,57,2,6696,NA,8,0,2,0,0
1564,0.100835967,87,0,140,NA,6,0,0,0,0
1566,0.019376663,68,0,1277,NA,12,0,1,0,NA
1573,0.924107143,24,0,0.135388461,4800,7,0,0,0,2
1580,0.9999999,30,1,0.15418795800000001,4500,4,0,0,1,0
1588,0.380480301,68,0,0.051771117,2568,2,0,0,0,3
1590,0.68012303,48,0,245,NA,4,0,0,0,0
1593,0.284951627,52,0,0.380131887,4700,9,0,1,0,0
1595,0.030024681,61,0,0.852235551,1833,5,0,1,0,0
1596,0.008247756,66,0,0.943611278,5000,7,0,2,0,0
1603,0,49,1,0.544228523,9416,11,0,3,0,2
1607,0.014088028,51,0,0.007997715,3500,6,0,0,0,1
1612,0.016128599,60,0,1812,NA,8,0,1,1,0
1615,0.983338887,27,0,0.106808245,1600,9,0,0,0,0
1622,0.041104587,28,0,0.3041988,3500,8,0,0,0,0
1623,0.299417878,56,0,0.65971575,8583,11,0,2,0,0
1624,0,49,0,0.355376308,15000,12,0,2,0,3
1626,0.004505221,39,0,0.435848607,4200,6,0,2,0,2
1634,0.095340549,56,0,2779,NA,14,0,3,0,3
1644,0.010893096,71,0,0.194158076,4073,8,1,0,0,0
1646,0.006654485,50,0,740,NA,7,0,1,0,4
1648,0.175604436,28,0,28,NA,2,0,0,0,NA
1650,0.455154587,49,1,0.913286004,1971,11,0,0,0,0
1652,0.84490946,60,0,0.357151076,8690,6,0,1,0,2
1654,0.033983551,34,0,0.243744128,11708,14,0,2,0,0
1658,0,71,0,0.233691577,4000,6,0,1,0,2
1662,0.880186636,41,0,0.211888395,2472,10,0,0,0,0
1666,0.212526282,43,1,0.206479352,10000,8,0,2,0,0
1671,0.558873832,30,0,0.214595135,3000,9,0,0,0,0
1679,0.903123346,47,0,0.342544069,8395,8,0,2,0,0
1681,0.940774925,41,2,0.381154711,4000,10,0,1,0,1
1683,1.025987006,63,6,0.521441726,3800,8,2,2,1,1
1693,0.016861692,48,0,0.425821711,12260,12,0,5,0,4
1694,0.195056302,73,0,1529,NA,10,0,1,0,2
1695,0.231831982,44,0,0.192690243,12667,6,0,1,0,2
1708,1.006955514,66,0,0.214392804,2000,3,0,0,0,0
1711,0,29,0,1394,NA,5,0,1,0,0
1715,0.342056982,70,0,0.626394732,10933,13,0,3,0,0
